what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1335098226734
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1335098226734
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1335098226735
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1335098226736
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1335098226737
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1335098226737
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1335098226738
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1335098226740
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1335098226741
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1335098226741
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1335098226741
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1335098226742
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1335098226743
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1335098226743
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1335098226743
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1335098226744
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1335098226745
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1335098226745
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1335098226745
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1335098226746
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1335098226746
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1335098226747
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1335098226747
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1335098226748
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1335098226748
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1335098226749
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1335098226749
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1335098226750
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1335098226750
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1335098226751
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1335098226752
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1335098226752
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1335098226753
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1335098226754
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1335098226755
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1335098226755
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1335098226755
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1335098226755
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1335098226756
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1335098226757
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1335098226757
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1335098226758
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1335098226759
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1335098226759
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1335098226760
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335098226761
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1335098226761
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1335098226762
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1335098226762
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1335098226762
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1335098226763
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1335098226763
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1335098226764
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.core",1335098226765
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.ui",1335098226765
started,bundle,org.jboss.tools.common,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common",1335098226766
started,bundle,org.jboss.tools.common.model,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.model",1335098226766
started,bundle,org.jboss.tools.project.examples,1.2.1.v20120320-2046-H78-Beta2,"org.jboss.tools.project.examples",1335098226766
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120307-2045-H73-Beta1,"org.jboss.tools.runtime.ui",1335098226767
started,bundle,org.jboss.tools.usage,1.1.0.v20120302-0148-H44-Beta1,"org.jboss.tools.usage",1335098226767
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1335098226768
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1335098226781
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1335098226781
os,sysinfo,,,"win32",1335098226785
arch,sysinfo,,,"x86_64",1335098226785
ws,sysinfo,,,"win32",1335098226785
locale,sysinfo,,,"en_US",1335098226785
processors,sysinfo,,,"8",1335098226785
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335098226785
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1335098226785
java.specification.name,sysinfo,,,"Java Platform API Specification",1335098226785
java.specification.vendor,sysinfo,,,"Oracle Corporation",1335098226785
java.specification.version,sysinfo,,,"1.7",1335098226785
java.vendor,sysinfo,,,"Oracle Corporation",1335098226785
java.version,sysinfo,,,"1.7.0_03",1335098226785
java.vm.info,sysinfo,,,"mixed mode",1335098226785
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335098226785
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335098226785
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1335098226785
java.vm.specification.version,sysinfo,,,"1.7",1335098226785
java.vm.vendor,sysinfo,,,"Oracle Corporation",1335098226785
java.vm.version,sysinfo,,,"22.1-b02",1335098226785
started,bundle,org.jboss.tools.runtime.core,1.3.0.v20120307-2045-H73-Beta1,"org.jboss.tools.runtime.core",1335098226864
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1335098229828
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1335098229831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335098232226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335098232977
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335098234770
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335098234778
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1335098234798
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1335098237013
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20120302-0154-H54-Beta1,"org.jboss.ide.eclipse.archives.core",1335098237024
started,bundle,org.jboss.ide.eclipse.archives.ui,3.2.1.v20120302-0154-H54-Beta1,"org.jboss.ide.eclipse.archives.ui",1335098237026
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20120302-0157-H43-Beta1,"org.jboss.tools.jmx.core",1335098237045
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.archives.webtools",1335098237081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335098239205
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1335098243035
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1335098243049
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1335098247736
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1335098247762
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1335098247770
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1335098247821
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1335098247824
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1335098247841
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1335098247868
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1335098247883
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1335098247886
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1335098247893
started,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.jdt.ui",1335098247914
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1335098247928
started,bundle,org.hibernate.eclipse.libs,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.libs",1335098247977
started,bundle,org.hibernate.eclipse,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse",1335098248035
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1335098248071
started,bundle,org.hibernate.eclipse.console,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.console",1335098248080
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1335098248081
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1335098248087
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.wtp.core",1335098248246
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1335098248289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335098249716
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1335098249816
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1335098249819
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1335098249820
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335098249856
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335098249903
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1335098250121
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1335098250162
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1335098250167
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1335098250224
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335098251751
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1335098251792
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1335098251792
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1335098251806
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1335098251807
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1335098251860
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1335098251903
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1335098251907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335098253072
